SID,Date,category,name,value,item,tdif,delta_value
882,2015-12-13T03:59:00Z,pers,A,10,kind,15.733333333333333,-0.15889830508474578
882,2015-12-13T19:43:00Z,pers,A,7.5,kind,22.45,-0.111358574610245
882,2015-12-14T18:10:00Z,pers,A,5,kind,7.55,0.33112582781456956
882,2015-12-17T03:05:00Z,pers,A,10,kind,15.55,-0.1607717041800643
882,2015-12-17T18:38:00Z,pers,A,7.5,kind,8.6,0
882,2015-12-19T18:38:00Z,pers,A,10,kind,5.5,-0.45454545454545453
882,2015-12-20T00:08:00Z,pers,A,7.5,kind,3.783333333333333,-0.6607929515418502
882,2015-12-20T03:55:00Z,pers,A,5,kind,23.116666666666667,0.10814708002883922
882,2015-12-21T03:02:00Z,pers,A,7.5,kind,18.65,0
882,2015-12-21T21:41:00Z,pers,A,7.5,kind,5.416666666666667,0
882,2015-12-22T03:06:00Z,pers,A,7.5,kind,15.633333333333333,0
882,2015-12-22T18:44:00Z,pers,A,7.5,kind,8.283333333333333,0
882,2015-12-24T04:07:00Z,pers,A,7.5,kind,14.133333333333333,0
882,2015-12-24T18:15:00Z,pers,A,7.5,kind,23.75,0
882,2015-12-25T18:00:00Z,pers,A,7.5,kind,6.1,0
882,2015-12-26T00:06:00Z,pers,A,7.5,kind,18.45,-0.13550135501355015
882,2015-12-26T18:33:00Z,pers,A,5,kind,5.95,0.42016806722689076
882,2015-12-27T00:30:00Z,pers,A,7.5,kind,3.6166666666666667,0
882,2015-12-27T04:07:00Z,pers,A,7.5,kind,16.95,0
882,2015-12-27T21:04:00Z,pers,A,7.5,kind,23.966666666666665,-0.10431154381084841
882,2015-12-30T03:57:00Z,pers,A,10,kind,14.066666666666666,-0.7109004739336493
882,2015-12-30T18:01:00Z,pers,A,0,kind,9.983333333333333,1.001669449081803
882,2015-12-31T04:00:00Z,pers,A,10,kind,NA,NA
882,2015-11-13T18:29:00Z,pers,A,7.5,rude,10.266666666666667,0
882,2015-11-14T04:45:00Z,pers,A,7.5,rude,13.316666666666666,-0.37546933667083854
882,2015-11-14T18:04:00Z,pers,A,2.5,rude,23.95,0
882,2015-11-15T18:01:00Z,pers,A,2.5,rude,7.033333333333333,-0.35545023696682465
882,2015-11-16T01:03:00Z,pers,A,0,rude,16.95,0
882,2015-11-17T19:43:00Z,pers,A,0,rude,1.3,0
882,2015-11-17T21:01:00Z,pers,A,0,rude,5.166666666666667,0
882,2015-11-18T02:11:00Z,pers,A,0,rude,1.1166666666666667,0
882,2015-11-18T03:18:00Z,pers,A,0,rude,15.683333333333334,0.1594048884165781
882,2015-11-18T18:59:00Z,pers,A,2.5,rude,3.05,0
882,2015-11-18T22:02:00Z,pers,A,2.5,rude,2.9,-0.8620689655172414
882,2015-11-19T00:56:00Z,pers,A,0,rude,17.166666666666668,0
882,2015-11-19T18:06:00Z,pers,A,0,rude,5.966666666666667,0.41899441340782123
882,2015-11-20T00:04:00Z,pers,A,2.5,rude,23.95,0
882,2015-11-21T00:01:00Z,pers,A,2.5,rude,3.3,-0.7575757575757576
882,2015-11-21T03:19:00Z,pers,A,0,rude,15.966666666666667,0.15657620041753653
882,2015-11-21T19:17:00Z,pers,A,2.5,rude,4.883333333333334,-0.5119453924914675
882,2015-11-22T00:10:00Z,pers,A,0,rude,3.1166666666666667,0
882,2015-11-22T03:17:00Z,pers,A,0,rude,20.833333333333332,0.12000000000000001
882,2015-11-23T00:07:00Z,pers,A,2.5,rude,3.7333333333333334,-0.6696428571428571
882,2015-11-23T03:51:00Z,pers,A,0,rude,15.45,0.16181229773462785
882,2015-11-23T19:18:00Z,pers,A,2.5,rude,2.25,-1.1111111111111112
882,2015-11-23T21:33:00Z,pers,A,0,rude,3.25,0
882,2015-11-24T00:48:00Z,pers,A,0,rude,19.083333333333332,0
882,2015-11-25T20:36:00Z,pers,A,2.5,rude,1.2833333333333334,0
882,2015-11-25T21:53:00Z,pers,A,2.5,rude,5.366666666666666,0
882,2015-11-28T03:15:00Z,pers,A,0,rude,16.233333333333334,0.15400410677618068
882,2015-11-28T19:29:00Z,pers,A,2.5,rude,23.3,-0.1072961373390558
882,2015-11-29T18:47:00Z,pers,A,0,rude,2.4166666666666665,1.0344827586206897
882,2015-11-29T21:12:00Z,pers,A,2.5,rude,3.716666666666667,-0.6726457399103138
882,2015-11-30T00:55:00Z,pers,A,0,rude,3.6,0
882,2015-11-30T04:31:00Z,pers,A,0,rude,13.7,0.36496350364963503
882,2015-11-30T18:13:00Z,pers,A,5,rude,3.8833333333333333,-0.6437768240343348
882,2015-11-30T22:06:00Z,pers,A,2.5,rude,3.066666666666667,-0.8152173913043478
882,2015-12-02T04:05:00Z,pers,A,2.5,rude,14.033333333333333,0
882,2015-12-02T18:07:00Z,pers,A,2.5,rude,3.033333333333333,0.8241758241758242
882,2015-12-02T21:09:00Z,pers,A,5,rude,3.4166666666666665,-1.4634146341463414
882,2015-12-03T00:34:00Z,pers,A,0,rude,23.466666666666665,0
882,2015-12-04T00:02:00Z,pers,A,0,rude,4.216666666666667,0
882,2015-12-04T04:15:00Z,pers,A,0,rude,13.783333333333333,0
882,2015-12-04T18:02:00Z,pers,A,0,rude,3.05,0.819672131147541
882,2015-12-04T21:05:00Z,pers,A,2.5,rude,7.1,-0.35211267605633806
