study SID p_name p_item s_name done
02-ipcs 02 O AesSens Negativity NA
02-ipcs 02 O AesSens pOsitivity NA
02-ipcs 02 O AesSens Sociability NA
02-ipcs 02 O CrtvImag Adversity NA
02-ipcs 02 O CrtvImag Duty NA
02-ipcs 02 O CrtvImag Intellect NA
02-ipcs 02 O CrtvImag Mating NA
02-ipcs 02 O CrtvImag Negativity NA
02-ipcs 02 O CrtvImag pOsitivity NA
02-ipcs 02 O CrtvImag Sociability NA
02-ipcs 02 O IntCur Adversity NA
02-ipcs 02 O IntCur Duty NA
02-ipcs 02 O IntCur Intellect NA
02-ipcs 02 O IntCur Mating NA
02-ipcs 02 O IntCur Negativity NA
02-ipcs 02 O IntCur pOsitivity NA
02-ipcs 02 O IntCur Sociability NA
02-ipcs 02 O O Adversity NA
02-ipcs 02 O O Duty NA
02-ipcs 02 O O Intellect NA
02-ipcs 02 O O Mating NA
02-ipcs 02 O O Negativity NA
02-ipcs 02 O O pOsitivity NA
02-ipcs 02 O O Sociability NA
02-ipcs 03 A A Adversity NA
02-ipcs 03 A A Deception NA
02-ipcs 03 A A Duty NA
02-ipcs 03 A A Intellect NA
02-ipcs 03 A A Mating NA
02-ipcs 03 A A Negativity NA
02-ipcs 03 A A pOsitivity NA
02-ipcs 03 A A Sociability NA
02-ipcs 03 A Cmpn Adversity NA
02-ipcs 03 A Cmpn Deception NA
02-ipcs 03 A Cmpn Duty NA
02-ipcs 03 A Cmpn Intellect NA
02-ipcs 03 A Cmpn Mating NA
02-ipcs 03 A Cmpn Negativity NA
02-ipcs 03 A Cmpn pOsitivity NA
02-ipcs 03 A Cmpn Sociability NA
02-ipcs 03 A Rspct Adversity NA
02-ipcs 03 A Rspct Deception NA
02-ipcs 03 A Rspct Duty NA
02-ipcs 03 A Rspct Intellect NA
02-ipcs 03 A Rspct Mating NA
02-ipcs 03 A Rspct Negativity NA
02-ipcs 03 A Rspct pOsitivity NA
02-ipcs 03 A Rspct Sociability NA
02-ipcs 03 A Trust Adversity NA
02-ipcs 03 A Trust Deception NA
02-ipcs 03 A Trust Duty NA
02-ipcs 03 A Trust Intellect NA
02-ipcs 03 A Trust Mating NA
02-ipcs 03 A Trust Negativity NA
02-ipcs 03 A Trust pOsitivity NA
02-ipcs 03 A Trust Sociability NA
02-ipcs 03 C C Adversity NA
02-ipcs 03 C C Deception NA
02-ipcs 03 C C Duty NA
02-ipcs 03 C C Intellect NA
02-ipcs 03 C C Mating NA
02-ipcs 03 C C Negativity NA
02-ipcs 03 C C pOsitivity NA
02-ipcs 03 C C Sociability NA
02-ipcs 03 C Org Adversity NA
02-ipcs 03 C Org Deception NA
02-ipcs 03 C Org Duty NA
02-ipcs 03 C Org Intellect NA
02-ipcs 03 C Org Mating NA
02-ipcs 03 C Org Negativity NA
02-ipcs 03 C Org pOsitivity NA
02-ipcs 03 C Org Sociability NA
02-ipcs 03 C Prdctv Adversity NA
02-ipcs 03 C Prdctv Deception NA
02-ipcs 03 C Prdctv Duty NA
02-ipcs 03 C Prdctv Intellect NA
02-ipcs 03 C Prdctv Mating NA
02-ipcs 03 C Prdctv Negativity NA
02-ipcs 03 C Prdctv pOsitivity NA
02-ipcs 03 C Prdctv Sociability NA
02-ipcs 03 C Rspnbl Adversity NA
02-ipcs 03 C Rspnbl Deception NA
02-ipcs 03 C Rspnbl Duty NA
02-ipcs 03 C Rspnbl Intellect NA
02-ipcs 03 C Rspnbl Mating NA
02-ipcs 03 C Rspnbl Negativity NA
02-ipcs 03 C Rspnbl pOsitivity NA
02-ipcs 03 C Rspnbl Sociability NA
02-ipcs 03 E Assert Adversity NA
02-ipcs 03 E Assert Deception NA
02-ipcs 03 E Assert Duty NA
02-ipcs 03 E Assert Intellect NA
02-ipcs 03 E Assert Mating NA
02-ipcs 03 E Assert Negativity NA
02-ipcs 03 E Assert pOsitivity NA
02-ipcs 03 E Assert Sociability NA
02-ipcs 03 E Cmpn Adversity NA
02-ipcs 03 E Cmpn Deception NA
02-ipcs 03 E Cmpn Duty NA
02-ipcs 03 E Cmpn Intellect NA
02-ipcs 03 E Cmpn Mating NA
02-ipcs 03 E Cmpn Negativity NA
02-ipcs 03 E Cmpn pOsitivity NA
02-ipcs 03 E Cmpn Sociability NA
02-ipcs 03 E E Adversity NA
02-ipcs 03 E E Deception NA
02-ipcs 03 E E Duty NA
02-ipcs 03 E E Intellect NA
02-ipcs 03 E E Mating NA
02-ipcs 03 E E Negativity NA
02-ipcs 03 E E pOsitivity NA
02-ipcs 03 E E Sociability NA
02-ipcs 03 E EnerLev Adversity NA
02-ipcs 03 E EnerLev Deception NA
02-ipcs 03 E EnerLev Duty NA
02-ipcs 03 E EnerLev Intellect NA
02-ipcs 03 E EnerLev Mating NA
02-ipcs 03 E EnerLev Negativity NA
02-ipcs 03 E EnerLev pOsitivity NA
02-ipcs 03 E EnerLev Sociability NA
02-ipcs 03 E Scblty Adversity NA
02-ipcs 03 E Scblty Deception NA
02-ipcs 03 E Scblty Duty NA
02-ipcs 03 E Scblty Intellect NA
02-ipcs 03 E Scblty Mating NA
02-ipcs 03 E Scblty Negativity NA
02-ipcs 03 E Scblty pOsitivity NA
02-ipcs 03 E Scblty Sociability NA
02-ipcs 03 N Anxty Adversity NA
02-ipcs 03 N Anxty Deception NA
02-ipcs 03 N Anxty Duty NA
02-ipcs 03 N Anxty Intellect NA
02-ipcs 03 N Anxty Mating NA
02-ipcs 03 N Anxty Negativity NA
02-ipcs 03 N Anxty pOsitivity NA
02-ipcs 03 N Anxty Sociability NA
02-ipcs 03 N Depr Adversity NA
02-ipcs 03 N Depr Deception NA
02-ipcs 03 N Depr Duty NA
02-ipcs 03 N Depr Intellect NA
02-ipcs 03 N Depr Mating NA
02-ipcs 03 N Depr Negativity NA
02-ipcs 03 N Depr pOsitivity NA
02-ipcs 03 N Depr Sociability NA
02-ipcs 03 N EmoVol Adversity NA
02-ipcs 03 N EmoVol Deception NA
02-ipcs 03 N EmoVol Duty NA
02-ipcs 03 N EmoVol Intellect NA
02-ipcs 03 N EmoVol Mating NA
02-ipcs 03 N EmoVol Negativity NA
02-ipcs 03 N EmoVol pOsitivity NA
02-ipcs 03 N EmoVol Sociability NA
02-ipcs 03 N N Adversity NA
02-ipcs 03 N N Deception NA
02-ipcs 03 N N Duty NA
02-ipcs 03 N N Intellect NA
02-ipcs 03 N N Mating NA
02-ipcs 03 N N Negativity NA
02-ipcs 03 N N pOsitivity NA
02-ipcs 03 N N Sociability NA
02-ipcs 03 O AesSens Adversity NA
02-ipcs 03 O AesSens Deception NA
02-ipcs 03 O AesSens Duty NA
02-ipcs 03 O AesSens Intellect NA
02-ipcs 03 O AesSens Mating NA
02-ipcs 03 O AesSens Negativity NA
02-ipcs 03 O AesSens pOsitivity NA
02-ipcs 03 O AesSens Sociability NA
02-ipcs 03 O CrtvImag Adversity NA
02-ipcs 03 O CrtvImag Deception NA
02-ipcs 03 O CrtvImag Duty NA
02-ipcs 03 O CrtvImag Intellect NA
02-ipcs 03 O CrtvImag Mating NA
02-ipcs 03 O CrtvImag Negativity NA
02-ipcs 03 O CrtvImag pOsitivity NA
02-ipcs 03 O CrtvImag Sociability NA
02-ipcs 03 O IntCur Adversity NA
02-ipcs 03 O IntCur Deception NA
02-ipcs 03 O IntCur Duty NA
02-ipcs 03 O IntCur Intellect NA
02-ipcs 03 O IntCur Mating NA
02-ipcs 03 O IntCur Negativity NA
02-ipcs 03 O IntCur pOsitivity NA
02-ipcs 03 O IntCur Sociability NA
02-ipcs 03 O O Adversity NA
02-ipcs 03 O O Deception NA
02-ipcs 03 O O Duty NA
02-ipcs 03 O O Intellect NA
02-ipcs 03 O O Mating NA
02-ipcs 03 O O Negativity NA
02-ipcs 03 O O pOsitivity NA
02-ipcs 03 O O Sociability NA
02-ipcs 05 A A Adversity NA
02-ipcs 05 A A Deception NA
02-ipcs 05 A A Duty NA
02-ipcs 05 A A Intellect NA
02-ipcs 05 A A Mating NA
02-ipcs 05 A A Negativity NA
02-ipcs 05 A A pOsitivity NA
02-ipcs 05 A A Sociability NA
02-ipcs 05 A Cmpn Adversity NA
02-ipcs 05 A Cmpn Deception NA
02-ipcs 05 A Cmpn Duty NA
02-ipcs 05 A Cmpn Intellect NA
02-ipcs 05 A Cmpn Mating NA
02-ipcs 05 A Cmpn Negativity NA
02-ipcs 05 A Cmpn pOsitivity NA
02-ipcs 05 A Cmpn Sociability NA
02-ipcs 05 A Rspct Adversity NA
02-ipcs 05 A Rspct Deception NA
02-ipcs 05 A Rspct Duty NA
02-ipcs 05 A Rspct Intellect NA
02-ipcs 05 A Rspct Mating NA
02-ipcs 05 A Rspct Negativity NA
02-ipcs 05 A Rspct pOsitivity NA
02-ipcs 05 A Rspct Sociability NA
02-ipcs 05 A Trust Adversity NA
02-ipcs 05 A Trust Deception NA
02-ipcs 05 A Trust Duty NA
02-ipcs 05 A Trust Intellect NA
02-ipcs 05 A Trust Mating NA
02-ipcs 05 A Trust Negativity NA
02-ipcs 05 A Trust pOsitivity NA
02-ipcs 05 A Trust Sociability NA
02-ipcs 05 C C Adversity NA
02-ipcs 05 C C Deception NA
02-ipcs 05 C C Duty NA
02-ipcs 05 C C Intellect NA
02-ipcs 05 C C Mating NA
02-ipcs 05 C C Negativity NA
02-ipcs 05 C C pOsitivity NA
02-ipcs 05 C C Sociability NA
02-ipcs 05 C Org Adversity NA
02-ipcs 05 C Org Deception NA
02-ipcs 05 C Org Duty NA
02-ipcs 05 C Org Intellect NA
02-ipcs 05 C Org Mating NA
02-ipcs 05 C Org Negativity NA
02-ipcs 05 C Org pOsitivity NA
02-ipcs 05 C Org Sociability NA
02-ipcs 05 C Prdctv Adversity NA
02-ipcs 05 C Prdctv Deception NA
02-ipcs 05 C Prdctv Duty NA
02-ipcs 05 C Prdctv Intellect NA
02-ipcs 05 C Prdctv Mating NA
02-ipcs 05 C Prdctv Negativity NA
02-ipcs 05 C Prdctv pOsitivity NA
02-ipcs 05 C Prdctv Sociability NA
02-ipcs 05 C Rspnbl Adversity NA
02-ipcs 05 C Rspnbl Deception NA
02-ipcs 05 C Rspnbl Duty NA
02-ipcs 05 C Rspnbl Intellect NA
02-ipcs 05 C Rspnbl Mating NA
02-ipcs 05 C Rspnbl Negativity NA
02-ipcs 05 C Rspnbl pOsitivity NA
02-ipcs 05 C Rspnbl Sociability NA
02-ipcs 05 E Assert Adversity NA
02-ipcs 05 E Assert Deception NA
02-ipcs 05 E Assert Duty NA
02-ipcs 05 E Assert Intellect NA
02-ipcs 05 E Assert Mating NA
02-ipcs 05 E Assert Negativity NA
02-ipcs 05 E Assert pOsitivity NA
02-ipcs 05 E Assert Sociability NA
02-ipcs 05 E Cmpn Adversity NA
02-ipcs 05 E Cmpn Deception NA
02-ipcs 05 E Cmpn Duty NA
02-ipcs 05 E Cmpn Intellect NA
02-ipcs 05 E Cmpn Mating NA
02-ipcs 05 E Cmpn Negativity NA
02-ipcs 05 E Cmpn pOsitivity NA
02-ipcs 05 E Cmpn Sociability NA
02-ipcs 05 E E Adversity NA
